Precision_90,Recall_90,F1_Score_90,Precision_99,Recall_99,F1_Score_99,Precision_99.9,Recall_99.9,F1_Score_99.9
0.38392857142857145,0.6417910447761194,0.48044692737430167,1.0,0.16716417910447762,0.2864450127877238,1.0,0.01791044776119403,0.03519061583577713
0.35714285714285715,0.6116207951070336,0.4509582863585118,0.9821428571428571,0.16819571865443425,0.28720626631853785,1.0,0.01834862385321101,0.036036036036036036
0.375,0.6194690265486725,0.4671857619577308,0.9821428571428571,0.16224188790560473,0.27848101265822783,1.0,0.017699115044247787,0.034782608695652174
0.34464285714285714,0.5993788819875776,0.4376417233560091,1.0,0.17391304347826086,0.2962962962962963,1.0,0.018633540372670808,0.036585365853658534
0.35892857142857143,0.6165644171779141,0.45372460496614,1.0,0.17177914110429449,0.2931937172774869,1.0,0.018404907975460124,0.03614457831325301
0.33214285714285713,0.5980707395498392,0.42709529276693453,0.9821428571428571,0.17684887459807075,0.2997275204359673,1.0,0.01929260450160772,0.03785488958990536
0.33035714285714285,0.6208053691275168,0.43123543123543123,1.0,0.18791946308724833,0.3163841807909605,1.0,0.020134228187919462,0.039473684210526314
0.32321428571428573,0.6094276094276094,0.4224037339556593,1.0,0.18855218855218855,0.31728045325779036,1.0,0.020202020202020204,0.039603960396039604
0.3375,0.6156351791530945,0.4359861591695502,1.0,0.18241042345276873,0.3085399449035813,1.0,0.019543973941368076,0.038338658146964855
0.35,0.6012269938650306,0.44243792325056436,1.0,0.17177914110429449,0.2931937172774869,1.0,0.018404907975460124,0.03614457831325301
0.3625,0.6132930513595166,0.4556677890011223,1.0,0.1691842900302115,0.28940568475452194,1.0,0.01812688821752266,0.03560830860534125
0.34464285714285714,0.6126984126984127,0.44114285714285717,1.0,0.17777777777777778,0.3018867924528302,1.0,0.01904761904761905,0.037383177570093455
0.3678571428571429,0.6167664670658682,0.4608501118568233,1.0,0.16766467065868262,0.28717948717948716,1.0,0.017964071856287425,0.03529411764705882
0.3482142857142857,0.598159509202454,0.4401805869074492,0.9821428571428571,0.1687116564417178,0.2879581151832461,1.0,0.018404907975460124,0.03614457831325301
0.38571428571428573,0.6428571428571429,0.48214285714285715,1.0,0.16666666666666666,0.2857142857142857,1.0,0.017857142857142856,0.03508771929824561
0.36607142857142855,0.6193353474320241,0.4601571268237935,0.9821428571428571,0.1661631419939577,0.2842377260981912,1.0,0.01812688821752266,0.03560830860534125
0.31785714285714284,0.5894039735099338,0.41299303944315546,0.9821428571428571,0.18211920529801323,0.30726256983240224,1.0,0.019867549668874173,0.03896103896103896
0.3607142857142857,0.6253869969040248,0.4575311438278596,1.0,0.17337461300309598,0.2955145118733509,1.0,0.018575851393188854,0.0364741641337386
0.3517857142857143,0.6137071651090342,0.44721906923950056,1.0,0.17445482866043613,0.29708222811671087,1.0,0.018691588785046728,0.03669724770642202
0.3607142857142857,0.6412698412698413,0.4617142857142857,0.9821428571428571,0.1746031746031746,0.29649595687331537,1.0,0.01904761904761905,0.037383177570093455
0.3482142857142857,0.6074766355140186,0.4426787741203178,0.9821428571428571,0.17133956386292834,0.2917771883289125,1.0,0.018691588785046728,0.03669724770642202
0.37142857142857144,0.6540880503144654,0.47380410022779046,1.0,0.1761006289308176,0.2994652406417112,1.0,0.018867924528301886,0.037037037037037035
0.3410714285714286,0.6181229773462783,0.43958573072497126,1.0,0.18122977346278318,0.30684931506849317,1.0,0.019417475728155338,0.0380952380952381
0.3625,0.6059701492537314,0.45363128491620114,1.0,0.16716417910447762,0.2864450127877238,1.0,0.01791044776119403,0.03519061583577713
0.34464285714285714,0.6146496815286624,0.4416475972540046,1.0,0.17834394904458598,0.3027027027027027,1.0,0.01910828025477707,0.0375
