AUC,AP
0.8879847247260614,0.6905477717277093
0.8710013639303693,0.6575878780735944
0.8790383255872057,0.6829091580188171
0.8686402999841214,0.651727182731741
0.8732025786713287,0.6591154721469983
0.8784508151231566,0.6603881340452228
0.8713794161031678,0.6741545600897954
0.8872542837288782,0.6823398526225388
0.8733599421573419,0.6759339681483373
0.8842277480296798,0.6892754995561142
0.8689635844579779,0.6508766772097475
0.8686701653934219,0.645373961308278
0.8788661132254643,0.6635087584880343
0.8853379488949442,0.675938209251529
0.8772200176366843,0.6559872068398657
0.8842759024949364,0.6780260045199294
0.8742349657742114,0.6714626208648338
0.8796091238036315,0.6736826237832373
0.8700672109184826,0.650270475104731
0.8694759863862832,0.6511525751402436
0.8788049870618678,0.6781052331856536
0.8814606991401231,0.6503176766325792
0.876851197351861,0.6581168236542634
0.8599196900982615,0.6272064372825331
0.8777619409603445,0.6693901402313958
0.8712498223932532,0.6524111439798841
0.8638798074301954,0.6390123830322779
0.869463549541717,0.6584508945242197
0.8736164794303575,0.6731988791750498
0.8731696043907772,0.6511595702824847
0.8860793301659352,0.6744803431143309
0.8598262741638882,0.6347295444543113
0.8802076791634414,0.668262284507344
0.8608896507711059,0.6397444240640936
0.8723708300885721,0.6572576874660057
0.8747693404513754,0.6523290192626799
0.8739783653846154,0.6541243014590422
0.8709764747286067,0.6666322748221869
0.8707964178390419,0.6497998752569982
0.8597508061456753,0.6211838741063614
0.8823776773628473,0.6788828950920398
0.8760882054799053,0.6728799993465858
0.8723257171595769,0.6587682973312623
0.8881458056714719,0.6922388109444864
0.8711516216959091,0.650456390429083
0.8862077959028832,0.6760634557843636
0.8728624669500167,0.6627534487061025
0.874614386279626,0.6634566784992811
0.8755578812026252,0.6506391713579006
0.8745754642671806,0.6700526959485801
0.8904354260967716,0.696819711388771
0.8726099387029093,0.6708107297833962
0.877190336016416,0.6665685322386115
0.8621268577732818,0.6459131329610368
0.8761474698344294,0.6660595520152407
0.8702405416700669,0.6586860787910624
0.885568509780567,0.6817615061829143
0.8723612325174825,0.6570623446703138
0.8859474902788116,0.7092861904244521
0.8627908851590819,0.6411701285447983
0.8813293096339733,0.6829248955241122
0.877945774308165,0.6654584404198985
0.8816574962495498,0.6851160617131181
0.8685862270374273,0.659499862887383
0.879643104886714,0.6744214062521122
0.8906122103274405,0.6627311768207634
0.8857125844316059,0.6741282109495568
0.868645803158494,0.6494044859037136
0.8799383969366914,0.6853003082503359
0.8749891389085327,0.6731895940287669
0.8750920141714343,0.6471654859483725
0.8854305698694014,0.6845788339567156
0.8733064904737193,0.6552192207816138
0.886009538475339,0.6992119299770764
0.8807605405393095,0.670174221174016
0.8690668058442326,0.645203746023404
0.8966831945452242,0.6962834846682552
0.8707992738209924,0.6480997116628867
0.870053954549433,0.6566608635125234
0.8577501692013695,0.6352335093685388
0.8752427228011423,0.6714400050527785
0.8673564193241907,0.6472652407100957
0.8645689613849509,0.6602345629642179
0.864620673864669,0.6444226294614948
0.861648495121169,0.6356113932672
0.8596583100462688,0.645958395037583
0.8734043568849228,0.6467202611176367
0.8679487456047631,0.6401116410809352
0.8605426257770007,0.6320192649712474
0.8792656128593629,0.6759073302891543
0.8808735640732814,0.6772162456865795
0.8736444666655174,0.6534218882628651
0.8888806494535559,0.6943400341379063
0.8744468941274417,0.6632200142142464
0.8883729166618123,0.7037754787218107
0.8720539681578083,0.6643882355347195
0.8795137698635708,0.661909541580125
0.8826167867810766,0.6833061588410178
0.8806031187734554,0.6841873838619986
0.8786902466931086,0.6801553696945495
