Precision_90,Recall_90,F1_Score_90,Precision_99,Recall_99,F1_Score_99,Precision_99.9,Recall_99.9,F1_Score_99.9
0.35535714285714287,0.6419354838709678,0.4574712643678161,1.0,0.18064516129032257,0.30601092896174864,1.0,0.025806451612903226,0.050314465408805034
0.3875,0.7,0.49885057471264366,1.0,0.18064516129032257,0.30601092896174864,1.0,0.01935483870967742,0.0379746835443038
0.35535714285714287,0.6655518394648829,0.46332945285215366,1.0,0.18729096989966554,0.3154929577464789,1.0,0.023411371237458192,0.0457516339869281
0.39107142857142857,0.6717791411042945,0.49435665914221216,1.0,0.17177914110429449,0.2931937172774869,1.0,0.018404907975460124,0.03614457831325301
0.3767857142857143,0.6895424836601307,0.48729792147806006,1.0,0.1830065359477124,0.30939226519337015,1.0,0.0196078431372549,0.038461538461538464
0.35,0.6621621621621622,0.45794392523364486,1.0,0.1891891891891892,0.3181818181818182,1.0,0.02364864864864865,0.0462046204620462
0.40535714285714286,0.654178674351585,0.5005512679162073,1.0,0.16138328530259366,0.27791563275434245,1.0,0.01729106628242075,0.0339943342776204
0.35892857142857143,0.6525974025974026,0.4631336405529954,1.0,0.18181818181818182,0.3076923076923077,1.0,0.022727272727272728,0.044444444444444446
0.35714285714285715,0.6557377049180327,0.4624277456647399,1.0,0.18360655737704917,0.31024930747922436,1.0,0.019672131147540985,0.03858520900321544
0.3767857142857143,0.6169590643274854,0.4678492239467849,1.0,0.16374269005847952,0.2814070351758794,1.0,0.017543859649122806,0.034482758620689655
0.35535714285714287,0.629746835443038,0.454337899543379,1.0,0.17721518987341772,0.3010752688172043,1.0,0.0189873417721519,0.037267080745341616
0.4035714285714286,0.6827794561933535,0.5072951739618407,1.0,0.1691842900302115,0.28940568475452194,1.0,0.01812688821752266,0.03560830860534125
0.3410714285714286,0.6430976430976431,0.4457409568261377,1.0,0.18855218855218855,0.31728045325779036,1.0,0.02356902356902357,0.046052631578947366
0.3482142857142857,0.6543624161073825,0.45454545454545453,1.0,0.18791946308724833,0.3163841807909605,1.0,0.02348993288590604,0.04590163934426229
0.37857142857142856,0.6523076923076923,0.47909604519774013,1.0,0.1723076923076923,0.29396325459317585,1.0,0.024615384615384615,0.04804804804804805
0.35892857142857143,0.6442307692307693,0.4610091743119266,1.0,0.1794871794871795,0.30434782608695654,1.0,0.022435897435897436,0.0438871473354232
