Precision_90,Recall_90,F1_Score_90,Precision_99,Recall_99,F1_Score_99,Precision_99.9,Recall_99.9,F1_Score_99.9
0.3732142857142857,0.6720257234726688,0.4799081515499426,0.9821428571428571,0.17684887459807075,0.2997275204359673,1.0,0.01929260450160772,0.03785488958990536
0.4035714285714286,0.6706231454005934,0.5039018952062431,1.0,0.1661721068249258,0.28498727735368956,1.0,0.02373887240356083,0.0463768115942029
0.38392857142857145,0.6595092024539877,0.4853273137697517,1.0,0.17177914110429449,0.2931937172774869,1.0,0.02147239263803681,0.042042042042042045
0.4017857142857143,0.6797583081570997,0.5050505050505051,1.0,0.1691842900302115,0.28940568475452194,1.0,0.021148036253776436,0.04142011834319527
0.37142857142857144,0.6645367412140575,0.4765177548682703,1.0,0.17891373801916932,0.3035230352303523,1.0,0.019169329073482427,0.03761755485893417
0.38571428571428573,0.6467065868263473,0.48322147651006714,1.0,0.16766467065868262,0.28717948717948716,1.0,0.020958083832335328,0.04105571847507331
0.375,0.670926517571885,0.48109965635738833,1.0,0.17891373801916932,0.3035230352303523,1.0,0.022364217252396165,0.04375
0.37857142857142856,0.6816720257234726,0.48679678530424797,0.9821428571428571,0.17684887459807075,0.2997275204359673,1.0,0.022508038585209004,0.0440251572327044
0.35714285714285715,0.6535947712418301,0.4618937644341801,1.0,0.1830065359477124,0.30939226519337015,1.0,0.0196078431372549,0.038461538461538464
0.375,0.6862745098039216,0.48498845265588914,0.9821428571428571,0.17973856209150327,0.30386740331491713,1.0,0.02287581699346405,0.04472843450479233
0.39285714285714285,0.6811145510835913,0.4983012457531144,1.0,0.17337461300309598,0.2955145118733509,1.0,0.02476780185758514,0.04833836858006042
0.3982142857142857,0.6737160120845922,0.500561167227834,0.9821428571428571,0.1661631419939577,0.2842377260981912,1.0,0.021148036253776436,0.04142011834319527
0.3625,0.6744186046511628,0.4715447154471545,1.0,0.18604651162790697,0.3137254901960784,1.0,0.019933554817275746,0.03908794788273615
0.4017857142857143,0.6838905775075987,0.5061867266591676,0.9821428571428571,0.16717325227963525,0.2857142857142857,1.0,0.0182370820668693,0.03582089552238806
0.4035714285714286,0.691131498470948,0.5095828635851184,1.0,0.1743119266055046,0.296875,1.0,0.021406727828746176,0.041916167664670656
0.3982142857142857,0.6861538461538461,0.503954802259887,1.0,0.1723076923076923,0.29396325459317585,1.0,0.018461538461538463,0.03625377643504532
0.3678571428571429,0.6912751677852349,0.4801864801864802,1.0,0.1912751677852349,0.3211267605633803,1.0,0.02348993288590604,0.04590163934426229
0.3607142857142857,0.6733333333333333,0.4697674418604651,0.9821428571428571,0.18333333333333332,0.3089887640449438,1.0,0.02,0.0392156862745098
0.3821428571428571,0.6750788643533123,0.4880273660205245,1.0,0.17665615141955837,0.3002680965147453,1.0,0.022082018927444796,0.043209876543209874
0.3982142857142857,0.6925465838509317,0.5056689342403629,0.9821428571428571,0.17080745341614906,0.291005291005291,1.0,0.018633540372670808,0.036585365853658534
0.375,0.6774193548387096,0.4827586206896552,1.0,0.18064516129032257,0.30601092896174864,1.0,0.02903225806451613,0.05642633228840126
0.37142857142857144,0.6459627329192547,0.47165532879818595,0.9821428571428571,0.17080745341614906,0.291005291005291,1.0,0.024844720496894408,0.048484848484848485
0.4,0.6892307692307692,0.5062146892655367,1.0,0.1723076923076923,0.29396325459317585,1.0,0.024615384615384615,0.04804804804804805
0.38571428571428573,0.6447761194029851,0.48268156424581005,1.0,0.16716417910447762,0.2864450127877238,1.0,0.01791044776119403,0.03519061583577713
0.36607142857142855,0.6788079470198676,0.4756380510440835,0.9821428571428571,0.18211920529801323,0.30726256983240224,1.0,0.023178807947019868,0.045307443365695796
0.36964285714285716,0.6509433962264151,0.4715261958997722,1.0,0.1761006289308176,0.2994652406417112,1.0,0.018867924528301886,0.037037037037037035
0.36428571428571427,0.6335403726708074,0.46258503401360546,1.0,0.17391304347826086,0.2962962962962963,1.0,0.021739130434782608,0.0425531914893617
0.3892857142857143,0.6546546546546547,0.48824188129899215,1.0,0.16816816816816818,0.2879177377892031,1.0,0.018018018018018018,0.035398230088495575
0.36964285714285716,0.667741935483871,0.47586206896551725,1.0,0.18064516129032257,0.30601092896174864,1.0,0.02258064516129032,0.04416403785488959
0.4,0.6787878787878788,0.503370786516854,1.0,0.1696969696969697,0.29015544041450775,1.0,0.01818181818181818,0.03571428571428571
0.4,0.6956521739130435,0.5079365079365079,0.9821428571428571,0.17080745341614906,0.291005291005291,1.0,0.018633540372670808,0.036585365853658534
0.3821428571428571,0.6970684039087948,0.4936562860438293,1.0,0.18241042345276873,0.3085399449035813,1.0,0.019543973941368076,0.038338658146964855
0.4,0.6871165644171779,0.5056433408577878,1.0,0.17177914110429449,0.2931937172774869,1.0,0.018404907975460124,0.03614457831325301
0.3821428571428571,0.6837060702875399,0.49026345933562426,1.0,0.17891373801916932,0.3035230352303523,1.0,0.025559105431309903,0.04984423676012461
0.39285714285714285,0.6790123456790124,0.497737556561086,1.0,0.1728395061728395,0.29473684210526313,1.0,0.018518518518518517,0.03636363636363636
0.38392857142857145,0.6677018633540373,0.4875283446712018,1.0,0.17391304347826086,0.2962962962962963,1.0,0.018633540372670808,0.036585365853658534
0.38392857142857145,0.6957928802588996,0.4948216340621404,1.0,0.18446601941747573,0.3114754098360656,1.0,0.025889967637540454,0.050473186119873815
0.4,0.6787878787878788,0.503370786516854,1.0,0.1696969696969697,0.29015544041450775,1.0,0.01818181818181818,0.03571428571428571
0.38571428571428573,0.6708074534161491,0.4897959183673469,0.9821428571428571,0.17080745341614906,0.291005291005291,1.0,0.021739130434782608,0.0425531914893617
0.37142857142857144,0.6540880503144654,0.47380410022779046,1.0,0.1761006289308176,0.2994652406417112,1.0,0.0220125786163522,0.043076923076923075
0.375,0.6885245901639344,0.48554913294797686,1.0,0.18360655737704917,0.31024930747922436,1.0,0.019672131147540985,0.03858520900321544
0.4232142857142857,0.6950146627565983,0.5260821309655938,0.9821428571428571,0.16129032258064516,0.2770780856423174,1.0,0.020527859237536656,0.040229885057471264
0.39107142857142857,0.6717791411042945,0.49435665914221216,1.0,0.17177914110429449,0.2931937172774869,1.0,0.024539877300613498,0.04790419161676647
0.3607142857142857,0.6558441558441559,0.46543778801843316,0.9821428571428571,0.17857142857142858,0.3021978021978022,1.0,0.022727272727272728,0.044444444444444446
0.3732142857142857,0.6875,0.4837962962962963,1.0,0.18421052631578946,0.3111111111111111,1.0,0.019736842105263157,0.03870967741935484
