AUC,AP
0.8852800581591107,0.6641819260703947
0.8823536719303644,0.6687245484119498
0.8788320257980936,0.6420696010287582
0.8810284422051108,0.6767612952933572
0.8758411621912611,0.669117109388331
0.8692736246791316,0.6477766910700089
0.8816221002259239,0.6728584102743835
0.8894836856753355,0.6706923793724203
0.879439214202518,0.6526954396823759
0.8848839826004812,0.6796744229780386
0.8881617874747265,0.681751740852345
0.8769506675984888,0.659931741856202
0.8800671358810893,0.6620540234455741
0.8814820675623308,0.6752682646925103
0.8892490074956946,0.6981292125030731
0.8875588205225571,0.6884850609896442
0.8888250089375588,0.6927111559321998
0.893863063744016,0.6673587755100413
0.885032966047214,0.6680873146780119
0.8785225170011904,0.6757985951011573
0.8804808784551306,0.6677952400000179
0.8676995061699295,0.6369907732618971
0.8900544756174146,0.6857146790734198
0.8777811532029789,0.6632989805634711
0.8787954280849785,0.6591387594034281
0.8793237503070719,0.641833387687488
0.8711781206171109,0.6448897108975898
0.8828314909318903,0.6668821892123673
0.873825896837708,0.6627166571260957
0.8817842046462342,0.676681736112506
0.8949727155939514,0.687349897652749
0.8866862455662422,0.6940077423152868
0.8893602669282514,0.6903218206474199
0.883420775669707,0.67890365431358
0.8810070352559596,0.6712697416017191
0.8780186688981344,0.6572289630138451
0.8935530525646468,0.6953035415844011
0.8916133973716641,0.68065232537159
0.8900043607905994,0.6700963816891327
0.8764974969173567,0.6542074374845714
0.8893593007283563,0.6842407948297905
0.8937077199650842,0.6971651200205591
0.8853601877072271,0.6673104578339327
0.8748383996775366,0.6405224359882549
0.883665971613982,0.6691837605679876
0.8701862736674701,0.6623898998539671
0.8665174481806744,0.6254424957522172
0.8825775198863884,0.6480722712169293
0.8820548262202403,0.6561338697189368
0.8875198851372463,0.6758379615177867
0.8853523458977822,0.6764123705730289
0.8760444821109532,0.6601138060141354
0.897346380684058,0.6963547202166266
0.8779325536889346,0.6719910197651505
0.8866350663270229,0.681267154255425
0.8736683587560454,0.6610514054452752
0.8860926637463185,0.6734897751129453
0.8839291263348349,0.670860889801628
0.8802243879181041,0.6512654275473139
0.8833625758725342,0.6636475264127287
0.881284071753688,0.6545951938934634
0.8882573094481472,0.684208245398815
0.8695641064224247,0.670643002048708
0.889941276154685,0.6659130124248558
0.8826618795666414,0.6631229487967693
0.8767120618659016,0.6473927176710347
0.9006712960201332,0.6980449246154984
0.8817192356254856,0.6387892198940976
0.8760390347729485,0.636897839980061
0.8850869226777375,0.669199017048169
0.8752150574633542,0.6370685362469712
0.8750284805768725,0.6629299647419208
0.8811213670472834,0.6686016525667449
0.8733106303418803,0.6436716422339143
0.8880244646584744,0.6930841791709099
0.8819318650447896,0.6721533379894946
0.8868553258525703,0.6771413840873546
0.8898346178744609,0.7012282309409439
0.8787960637564604,0.6642914785019576
0.8732545161808942,0.6535560946913735
0.8927814805440724,0.6968644042591237
0.8837625529779594,0.6614651445302233
0.8855498031602221,0.6631151457182264
0.8804174793105266,0.655048170944916
0.883098538067211,0.6701818071744643
0.868634412936267,0.632072478959181
0.8972461584592545,0.7032791652656439
0.8913367739005176,0.6816772655925876
0.8749386897824397,0.6470972818512303
0.896015482288177,0.698475959563279
0.8703195005931609,0.6499477426926137
0.887046385422229,0.6747584582712436
0.888720273796048,0.678080744534662
0.8694072091736811,0.6462441547174768
0.8938574672866876,0.6755086330292144
0.8838116463717577,0.686415114859591
0.8657203637643034,0.6227675511626787
0.8825445930673947,0.6488893491616824
0.8931325336933912,0.6808947780573962
0.8825414458076952,0.674305600905909
